time_slot,domainId,nodeId,msrr_count,selected
4,1,0,4,1
5,6,0,4,1
5,1,0,1,0
6,1,0,3,1
6,3,0,2,0
7,1,0,3,1
7,3,0,2,0
8,6,0,4,1
8,1,0,1,0
9,7,0,4,1
9,0,0,1,0
10,0,0,3,1
10,3,0,2,0
11,6,0,3,1
11,3,0,2,0
12,6,0,5,1
13,5,0,4,1
13,7,0,1,0
14,7,0,3,1
14,0,0,2,0
15,4,0,3,1
15,0,0,2,0
16,5,0,4,1
16,4,0,1,0
17,1,0,4,1
17,3,0,1,0
18,3,0,3,1
18,5,0,2,0
19,7,0,3,1
19,5,0,2,0
20,1,0,4,1
20,7,0,1,0
21,0,0,4,1
21,2,0,1,0
22,2,0,3,1
22,1,0,2,0
23,3,0,3,1
23,1,0,2,0
24,7,0,4,1
24,3,0,1,0
25,6,0,4,1
25,3,0,1,0
26,3,0,3,1
26,6,0,2,0
27,6,0,5,1
28,5,0,4,1
28,6,0,1,0
29,0,0,4,1
29,4,0,1,0
30,4,0,5,1
31,5,0,3,1
31,4,0,2,0
32,2,0,4,1
32,5,0,1,0
33,6,0,4,1
33,7,0,1,0
34,7,0,3,1
34,0,0,2,0
35,2,0,3,1
35,0,0,2,0
