time_slot,nodeId,clusterId,count,selected
4,0,domain6,16,1
4,0,domain1,12,1
4,0,domain3,8,0
4,0,domain7,5,0
4,0,domain0,4,0
4,0,domain5,4,0
5,0,domain1,12,1
5,0,domain0,8,1
5,0,domain5,8,0
5,0,domain3,7,0
5,0,domain7,7,0
5,0,domain2,4,0
5,0,domain4,4,0
6,0,domain6,16,1
6,0,domain4,8,1
6,0,domain5,8,0
6,0,domain3,5,0
6,0,domain7,5,0
6,0,domain0,4,0
6,0,domain2,4,0
7,0,domain2,12,1
7,0,domain7,11,1
7,0,domain0,8,0
7,0,domain3,8,0
7,0,domain6,7,0
7,0,domain5,4,0
8,0,domain2,12,1
8,0,domain3,12,1
8,0,domain4,12,0
8,0,domain7,5,0
8,0,domain0,4,0
8,0,domain5,4,0
8,0,domain6,1,0
9,0,domain7,19,1
9,0,domain3,8,1
9,0,domain6,8,0
9,0,domain5,7,0
9,0,domain0,4,0
9,0,domain1,4,0
10,0,domain1,12,1
10,0,domain5,9,1
10,0,domain3,8,0
10,0,domain0,5,0
10,0,domain2,4,0
10,0,domain4,4,0
10,0,domain6,4,0
10,0,domain7,4,0
11,0,domain6,12,1
11,0,domain7,12,1
11,0,domain1,8,0
11,0,domain4,7,0
11,0,domain2,4,0
11,0,domain5,4,0
11,0,domain0,3,0
12,0,domain0,9,1
12,0,domain4,9,1
12,0,domain1,8,0
12,0,domain5,8,0
12,0,domain6,8,0
12,0,domain2,4,0
12,0,domain7,4,0
