scheme,frequency,mean_hops
central,1,0.0
central,2,0.0
central,5,0.0
central,10,0.0
flood,1,5.03
flood,2,4.98
flood,5,5.01
flood,10,5.02
iroute,1,5.0
iroute,2,5.01
iroute,5,4.99
iroute,10,5.03
sanr-tag,1,0.05
sanr-tag,2,0.06
sanr-tag,5,0.07
sanr-tag,10,0.05
tag,1,5.02
tag,2,5.02
tag,5,5.03
tag,10,5.05
