time_slot,domainId,nodeId,msrr_count,selected
4,1,0,5,1
4,6,0,4,0
5,1,0,6,1
5,3,0,4,0
6,6,0,4,1
6,7,0,4,0
6,0,0,1,0
6,1,0,1,0
7,3,0,4,1
7,0,0,3,0
7,6,0,3,0
8,6,0,5,1
8,5,0,4,0
8,7,0,1,0
9,0,0,4,1
9,4,0,3,0
9,7,0,3,0
10,1,0,4,1
10,5,0,4,0
10,3,0,1,0
10,4,0,1,0
11,5,0,4,1
11,3,0,3,0
11,7,0,3,0
12,0,0,4,1
12,1,0,4,0
12,2,0,1,0
12,7,0,1,0
13,1,0,4,1
13,2,0,3,0
13,3,0,3,0
14,6,0,4,1
14,7,0,4,0
14,3,0,2,0
15,6,0,7,1
15,3,0,3,0
16,0,0,4,1
16,5,0,4,0
16,4,0,1,0
16,6,0,1,0
17,4,0,7,1
17,5,0,3,0
18,2,0,4,1
18,6,0,4,0
18,5,0,1,0
18,7,0,1,0
19,0,0,4,1
19,2,0,3,0
19,7,0,3,0
20,3,0,4,1
20,5,0,4,0
20,2,0,2,0
21,3,0,4,1
21,0,0,3,0
21,2,0,3,0
22,7,0,5,1
22,6,0,4,0
22,0,0,1,0
23,2,0,4,1
23,6,0,3,0
23,7,0,3,0
24,3,0,4,1
24,5,0,4,0
24,2,0,1,0
24,6,0,1,0
25,2,0,6,1
25,4,0,4,0
26,2,0,5,1
26,4,0,4,0
26,7,0,1,0
27,3,0,7,1
27,7,0,3,0
28,0,0,4,1
28,4,0,4,0
28,3,0,1,0
28,7,0,1,0
29,7,0,7,1
29,6,0,3,0
30,5,0,4,1
30,7,0,4,0
30,1,0,1,0
30,6,0,1,0
31,6,0,4,1
31,1,0,3,0
31,7,0,3,0
32,3,0,5,1
32,0,0,4,0
32,7,0,1,0
33,7,0,4,1
33,3,0,3,0
33,5,0,3,0
34,1,0,4,1
34,3,0,4,0
34,5,0,1,0
34,6,0,1,0
35,1,0,4,1
35,5,0,3,0
35,6,0,3,0
