run_id,scheme,seed,sweep_param,sweep_value,is_reference,oracle_flag,ctrl_bytes_per_sec,domain_acc,domain_recall_at_1,domain_recall_at_3,domain_recall_at_5,doc_hit_at_1,doc_hit_at_10,ndcg_at_10,p50_ms,p95_ms,mean_hops,total_queries,measurable_queries,mean_relset_size,singleton_queries,n_success,timeout_rate,unique_rtt_values,result_dir,source_result_dir,canonical_run_id,run_class,cache_mode,seed_provenance,paper_grade
iroute_M4_s42,iroute,42,M,4,1,0,14146.41,0.8306,0.701176,0.927059,0.974118,0.289412,0.289412,0.289412,47.9601,56.5034,5.14,500,425,25.315294,37,425,0.0,272,results/runs/fig12-paper-grade-20260310a-iroute_M4_s42,/private/tmp/fig12-paper-grade-20260310a-stage/iroute_M4_s42,fig12-paper-grade-20260310a-iroute_M4_s42,paper_grade,disabled,native,true
flood_budget8_s42,flood,42,budget,8,1,0,27597.8,0.8141,0.814118,0.922353,0.941176,0.284706,0.284706,0.284706,50.6331,57.2655,5.12,500,425,25.315294,37,419,0.014118,322,results/runs/fig12-paper-grade-20260310a-flood_budget8_s42,/private/tmp/fig12-paper-grade-20260310a-stage/flood_budget8_s42,fig12-paper-grade-20260310a-flood_budget8_s42,paper_grade,disabled,native,true
tag_tagK32_s42,tag,42,tagK,32,1,0,110996.45,0.6047,0.604706,0.663529,0.682353,0.188235,0.188235,0.188235,48.6544,53.6358,5.12,500,425,25.315294,37,425,0.0,408,results/runs/fig12-paper-grade-20260310a-tag_tagK32_s42,/private/tmp/fig12-paper-grade-20260310a-stage/tag_tagK32_s42,fig12-paper-grade-20260310a-tag_tagK32_s42,paper_grade,disabled,native,true
central_proc2_s42,central,42,proc,2,1,1,1755.68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.6081,13.933,0.0,500,425,25.315294,37,425,0.0,390,results/runs/fig12-paper-grade-20260310a-central_proc2_s42,/private/tmp/fig12-paper-grade-20260310a-stage/central_proc2_s42,fig12-paper-grade-20260310a-central_proc2_s42,paper_grade,disabled,native,true
