# Rocketfuel topology converted to ndnSIM format
# Nodes: 1200, Links: 860
# Bandwidth: 10Gbps, Delay: 2ms

router

# node	comment	yPos	xPos
Node191	Chicago+IL	42	21
Node192	Dallas+TX	34	27
Node193	London+UnitedKingdom	2	48
Node194	Stockton+CA	22	105
Node195	Chicago+IL	44	21
Node196	Dallas+TX	36	27
Node197	Stockton+CA	24	105
Node198	Pennsauken+NJ	64	72
Node199	Seattle+WA	8	93
Node200	Atlanta+GA	30	9
Node201	Orlando+FL	12	63
Node202	Pennsauken+NJ	66	72
Node203	Dallas+TX	38	27
Node204	Dallas+TX	40	27
Node205	Stockton+CA	26	105
Node206	Stockton+CA	28	105
Node207	Cheyenne+WY	18	18
Node208	Relay+MD	20	78
Node209	Orlando+FL	14	63
Node210	Cheyenne+WY	20	18
Node211	Washington+DC	4	120
Node212	Dallas+TX	42	27
Node213	T	34	111
Node214	Kansas+City+MO	10	42
Node215	Washington+DC	6	120
Node216	T	36	111
Node217	T	38	111
Node218	T	40	111
Node219	New+York+NY	22	60
Node220	T	42	111
Node221	Relay+MD	22	78
Node222	T	44	111
Node223	Dallas+TX	44	27
Node224	Chicago+IL	46	21
Node225	T	46	111
Node226	Chicago+IL	48	21
Node227	Chicago+IL	50	21
Node228	Relay+MD	24	78
Node229	Relay+MD	26	78
Node230	Relay+MD	28	78
Node231	Cheyenne+WY	22	18
Node232	T	48	111
Node233	Dallas+TX	46	27
Node234	T	50	111
Node235	Stockton+CA	30	105
Node236	Dallas+TX	48	27
Node237	Dallas+TX	50	27
Node238	Seattle+WA	10	93
Node239	Atlanta+GA	32	9
Node240	Dallas+TX	52	27
Node241	Relay+MD	30	78
Node242	Chicago+IL	52	21
Node243	Atlanta+GA	34	9
Node244	Chicago+IL	54	21
Node245	Kansas+City+MO	12	42
Node246	New+York+NY	24	60
Node247	Seattle+WA	12	93
Node248	T	52	111
Node249	Pennsauken+NJ	68	72
Node250	London+UnitedKingdom	4	48
Node251	Chicago+IL	56	21
Node252	Dallas+TX	54	27
Node253	Kansas+City+MO	14	42
Node254	Seattle+WA	14	93
Node255	Pennsauken+NJ	70	72
Node256	T	54	111
Node257	Frankfurt+Germany	0	33
Node258	Stockton+CA	32	105
Node259	Kansas+City+MO	16	42
Node260	Stockton+CA	34	105
Node261	Dallas+TX	56	27
Node262	Seattle+WA	16	93
Node263	Washington+DC	8	120
Node264	New+York+NY	26	60
Node265	Washington+DC	10	120
Node266	Stockton+CA	36	105
Node267	T	56	111
Node268	Chicago+IL	58	21
Node269	T	58	111
Node270	Stockton+CA	38	105
Node271	Chicago+IL	60	21
Node272	Orlando+FL	16	63
Node273	Stockton+CA	40	105
Node274	Washington+DC	12	120
Node275	Relay+MD	32	78
Node276	Stockton+CA	42	105
Node277	Stockton+CA	44	105
Node278	T	60	111
Node279	T	62	111
Node280	T	64	111
Node281	New+York+NY	28	60
Node282	New+York+NY	30	60
Node283	T	66	111
Node284	New+York+NY	32	60
Node285	Dallas+TX	58	27
Node286	T	68	111
Node287	Stockton+CA	46	105
Node288	Chicago+IL	62	21
Node289	Dallas+TX	60	27
Node290	Relay+MD	34	78
Node291	Atlanta+GA	36	9
Node292	Chicago+IL	64	21
Node293	Dallas+TX	62	27
Node294	Cheyenne+WY	24	18
Node295	Kansas+City+MO	18	42
Node296	Stockton+CA	48	105
Node297	Pennsauken+NJ	72	72
Node298	Stockton+CA	50	105
Node299	Atlanta+GA	38	9
Node300	Relay+MD	36	78
Node301	Pennsauken+NJ	74	72
Node302	Seattle+WA	18	93
Node303	Dallas+TX	64	27
Node304	Stockton+CA	52	105
Node305	Relay+MD	38	78
Node306	Dublin+Ireland	0	30
Node307	Amsterdam+Netherland	0	0
Node308	T	70	111
Node309	Stockton+CA	54	105
Node310	T	72	111
Node311	New+York+NY	34	60
Node312	Stockton+CA	56	105
Node313	Washington+DC	14	120
Node314	Washington+DC	16	120
Node315	T	74	111
Node316	Kansas+City+MO	20	42
Node317	Chicago+IL	66	21
Node318	T	76	111
Node319	Seattle+WA	20	93
Node320	Relay+MD	40	78
Node321	Pennsauken+NJ	76	72
Node322	Stockton+CA	58	105
Node323	Pennsauken+NJ	78	72
Node324	Pennsauken+NJ	80	72
Node325	Atlanta+GA	40	9
Node326	Chicago+IL	68	21
Node327	Kansas+City+MO	22	42
Node328	Pennsauken+NJ	82	72
Node329	San+Jose+CA	4	90
Node330	Stockton+CA	60	105
Node331	Seattle+WA	22	93
Node332	Relay+MD	42	78
Node333	Atlanta+GA	42	9
Node334	Atlanta+GA	44	9
Node335	Dallas+TX	66	27
Node336	Anaheim+CA	16	3
Node337	Chicago+IL	70	21
Node338	Chicago+IL	72	21
Node339	Kansas+City+MO	24	42
Node340	Stockton+CA	62	105
Node341	Tacoma+WA	6	114
Node342	Chicago+IL	74	21
Node343	Dallas+TX	68	27
Node344	Tacoma+WA	8	114
Node345	Tacoma+WA	10	114
