time_slot,nodeId,clusterId,count,selected
4,0,domain0,1,1
4,0,domain1,1,0
4,0,domain2,1,0
4,0,domain3,1,0
5,0,domain7,2,1
5,0,domain3,1,0
5,0,domain4,1,0
5,0,domain6,1,0
6,0,domain1,2,1
6,0,domain3,1,0
6,0,domain5,1,0
6,0,domain7,1,0
7,0,domain0,2,1
7,0,domain1,1,0
7,0,domain2,1,0
7,0,domain4,1,0
8,0,domain6,2,1
8,0,domain0,1,0
8,0,domain2,1,0
8,0,domain7,1,0
9,0,domain3,2,1
9,0,domain1,1,0
9,0,domain4,1,0
9,0,domain6,1,0
10,0,domain5,2,1
10,0,domain1,1,0
10,0,domain3,1,0
10,0,domain6,1,0
11,0,domain1,2,1
11,0,domain3,2,0
11,0,domain2,1,0
12,0,domain5,2,1
12,0,domain1,1,0
12,0,domain3,1,0
12,0,domain6,1,0
13,0,domain1,1,1
13,0,domain2,1,0
13,0,domain3,1,0
13,0,domain5,1,0
13,0,domain6,1,0
14,0,domain3,2,1
14,0,domain0,1,0
14,0,domain1,1,0
14,0,domain7,1,0
15,0,domain0,1,1
15,0,domain1,1,0
15,0,domain2,1,0
15,0,domain5,1,0
15,0,domain6,1,0
16,0,domain6,3,1
16,0,domain1,1,0
16,0,domain3,1,0
17,0,domain2,2,1
17,0,domain0,1,0
17,0,domain3,1,0
17,0,domain5,1,0
18,0,domain5,4,1
18,0,domain2,1,0
19,0,domain0,1,1
19,0,domain1,1,0
19,0,domain3,1,0
19,0,domain4,1,0
19,0,domain6,1,0
20,0,domain0,1,1
20,0,domain1,1,0
20,0,domain4,1,0
20,0,domain5,1,0
20,0,domain6,1,0
21,0,domain6,2,1
21,0,domain1,1,0
21,0,domain2,1,0
21,0,domain7,1,0
22,0,domain4,2,1
22,0,domain0,1,0
22,0,domain1,1,0
22,0,domain7,1,0
