time_slot,domainId,nodeId,msrr_count,selected
4,0,0,1,1
4,1,0,1,0
4,2,0,1,0
4,3,0,1,0
5,7,0,2,1
5,3,0,1,0
5,4,0,1,0
5,6,0,1,0
6,1,0,2,1
6,3,0,1,0
6,5,0,1,0
6,7,0,1,0
7,0,0,2,1
7,1,0,1,0
7,2,0,1,0
7,4,0,1,0
8,6,0,2,1
8,0,0,1,0
8,2,0,1,0
8,7,0,1,0
9,3,0,2,1
9,1,0,1,0
9,4,0,1,0
9,6,0,1,0
10,5,0,2,1
10,1,0,1,0
10,3,0,1,0
10,6,0,1,0
11,1,0,2,1
11,3,0,2,0
11,2,0,1,0
12,5,0,2,1
12,1,0,1,0
12,3,0,1,0
12,6,0,1,0
13,1,0,1,1
13,2,0,1,0
13,3,0,1,0
13,5,0,1,0
13,6,0,1,0
14,3,0,2,1
14,0,0,1,0
14,1,0,1,0
14,7,0,1,0
15,0,0,1,1
15,1,0,1,0
15,2,0,1,0
15,5,0,1,0
15,6,0,1,0
16,6,0,3,1
16,1,0,1,0
16,3,0,1,0
17,2,0,2,1
17,0,0,1,0
17,3,0,1,0
17,5,0,1,0
18,5,0,4,1
18,2,0,1,0
19,0,0,1,1
19,1,0,1,0
19,3,0,1,0
19,4,0,1,0
19,6,0,1,0
20,0,0,1,1
20,1,0,1,0
20,4,0,1,0
20,5,0,1,0
20,6,0,1,0
21,6,0,2,1
21,1,0,1,0
21,2,0,1,0
21,7,0,1,0
22,4,0,2,1
22,0,0,1,0
22,1,0,1,0
22,7,0,1,0
