scheme,totalQueries,measurableQueries,DomainAcc,Recall_at_1,Recall_at_k,DocHit_at_1_singleton,mean_relset_size,singleton_queries,meanSSR,P50_ms,P95_ms,mean_hops,ctrl_bytes_per_sec,ctrl_pkts_per_sec,avg_FIB_entries,avg_LSDB_entries,unique_hops_values,partition_detected,failure_effective,ssr_mean,ssr_p50,ssr_p95,cache_hit_exact_ratio,cache_hit_semantic_ratio,semantic_hit_ratio
iroute,377,377,0.9469,0.1088,1.0000,0.1034,10.3077,29,0.741327,38.0681,67.0758,4.98,60028.85,94.25,21,32,4,0,0,0.741327,0.749765,0.833906,0.000000,0.000000,0.000000
iroute,377,377,0.9469,0.1088,1.0000,0.1034,10.3077,29,0.741327,38.0681,67.0758,4.98,60028.85,94.25,21,32,4,0,0,0.741327,0.749765,0.833906,0.000000,0.000000,0.000000
