time_slot,nodeId,clusterId,count,selected
4,0,domain1,24,1
4,0,domain6,16,1
4,0,domain3,15,0
4,0,domain0,12,0
4,0,domain5,12,0
4,0,domain7,12,0
4,0,domain2,4,0
4,0,domain4,4,0
5,0,domain6,23,1
5,0,domain2,16,1
5,0,domain7,16,0
5,0,domain3,13,0
5,0,domain0,12,0
5,0,domain5,12,0
5,0,domain4,8,0
6,0,domain7,24,1
6,0,domain3,20,1
6,0,domain2,12,0
6,0,domain4,12,0
6,0,domain5,11,0
6,0,domain6,9,0
6,0,domain0,8,0
6,0,domain1,4,0
7,0,domain1,20,1
7,0,domain6,16,1
7,0,domain7,16,0
7,0,domain5,13,0
7,0,domain4,11,0
7,0,domain0,8,0
7,0,domain2,8,0
7,0,domain3,8,0
