run_id,scheme,seed,sweep_param,sweep_value,is_reference,oracle_flag,ctrl_bytes_per_sec,domain_acc,domain_recall_at_1,domain_recall_at_3,domain_recall_at_5,doc_hit_at_1,doc_hit_at_10,ndcg_at_10,p50_ms,p95_ms,mean_hops,total_queries,measurable_queries,mean_relset_size,singleton_queries,n_success,timeout_rate,unique_rtt_values,result_dir
flood_budget8_s44,flood,44,budget,8,1,0,27575.530000,0.928000,0.928000,0.984000,0.992000,0.120000,0.120000,0.120000,26.225700,47.930400,5.180000,500,500,10.288000,48,496,0.008000,279,results/sanr_baseline/accuracy_comparison/flood_budget8_s44
tag_tagK8_s42,tag,42,tagK,8,0,0,27700.330000,0.608000,0.608000,0.608000,0.608000,0.080000,0.080000,0.080000,25.737100,49.686500,5.290000,500,500,10.288000,48,500,0.000000,414,results/sanr_baseline/accuracy_comparison/tag_tagK8_s42
tag_tagK16_s42,tag,42,tagK,16,0,0,55400.580000,0.672000,0.672000,0.696000,0.696000,0.088000,0.088000,0.088000,25.969000,50.901600,5.210000,500,500,10.288000,48,500,0.000000,413,results/sanr_baseline/accuracy_comparison/tag_tagK16_s42
tag_tagK32_s42,tag,42,tagK,32,1,0,110802.800000,0.696000,0.696000,0.720000,0.720000,0.088000,0.088000,0.088000,27.073100,50.943000,5.180000,500,500,10.288000,48,500,0.000000,441,results/sanr_baseline/accuracy_comparison/tag_tagK32_s42
tag_tagK64_s42,tag,42,tagK,64,0,0,221601.600000,0.752000,0.752000,0.776000,0.776000,0.112000,0.112000,0.112000,27.581100,52.055600,5.130000,500,500,10.288000,48,500,0.000000,464,results/sanr_baseline/accuracy_comparison/tag_tagK64_s42
tag_tagK8_s43,tag,43,tagK,8,0,0,27700.330000,0.608000,0.608000,0.608000,0.608000,0.080000,0.080000,0.080000,40.355500,70.664700,5.290000,500,500,10.288000,48,500,0.000000,438,results/sanr_baseline/accuracy_comparison/tag_tagK8_s43
tag_tagK16_s43,tag,43,tagK,16,0,0,55400.580000,0.672000,0.672000,0.696000,0.696000,0.088000,0.088000,0.088000,40.551400,70.051100,5.210000,500,500,10.288000,48,500,0.000000,430,results/sanr_baseline/accuracy_comparison/tag_tagK16_s43
tag_tagK32_s43,tag,43,tagK,32,1,0,110802.800000,0.696000,0.696000,0.720000,0.720000,0.088000,0.088000,0.088000,40.685800,70.749200,5.180000,500,500,10.288000,48,500,0.000000,392,results/sanr_baseline/accuracy_comparison/tag_tagK32_s43
tag_tagK64_s43,tag,43,tagK,64,0,0,221601.600000,0.752000,0.752000,0.776000,0.776000,0.112000,0.112000,0.112000,40.757200,71.039200,5.130000,500,500,10.288000,48,500,0.000000,345,results/sanr_baseline/accuracy_comparison/tag_tagK64_s43
tag_tagK8_s44,tag,44,tagK,8,0,0,27700.330000,0.608000,0.608000,0.608000,0.608000,0.080000,0.080000,0.080000,24.919500,45.937200,5.290000,500,500,10.288000,48,500,0.000000,437,results/sanr_baseline/accuracy_comparison/tag_tagK8_s44
